ticker,sector,industry
SATL,Industrials,Aerospace & Defense
ONTO,Technology,Semiconductor Equipment & Materials
NWPX,Basic Materials,Steel
ON,Technology,Semiconductors
IMOS,Technology,Semiconductors
TVTX,Healthcare,Biotechnology
VAL,Energy,Oil & Gas Drilling
LBRT,Energy,Oil & Gas Equipment & Services
STM,Technology,Semiconductors
COHU,Technology,Semiconductor Equipment & Materials
RIG,Energy,Oil & Gas Drilling
CMPS,Healthcare,Medical Care Facilities
KEN,Utilities,Utilities - Independent Power Producers
ACLS,Technology,Semiconductor Equipment & Materials
RMBS,Technology,Semiconductors
HIMX,Technology,Semiconductors
XMTR,Industrials,Industrial Distribution
PRM,Basic Materials,Specialty Chemicals
AVR,Healthcare,Medical Instruments & Supplies
SHIP,Industrials,Marine Shipping
ECG,Industrials,Engineering & Construction
INOD,Technology,Information Technology Services
KALU,Basic Materials,Aluminum
CCCC,Healthcare,Biotechnology
YOU,Technology,Software - Application
ELVN,Healthcare,Biotechnology
CGON,Healthcare,Biotechnology
CYTK,Healthcare,Biotechnology
BTSG,Healthcare,Health Information Services
PDFS,Technology,Software - Application
THR,Industrials,Specialty Industrial Machinery
EDC,その他,
TEN,Energy,Oil & Gas Midstream
OBE,Energy,Oil & Gas E&P
SCHL,Communication Services,Publishing
TH,Industrials,Specialty Business Services
WTTR,Energy,Oil & Gas Equipment & Services
CMPR,Industrials,Specialty Business Services
BHE,Technology,Electronic Components
ARM,Technology,Semiconductors
CORZ,Technology,Software - Infrastructure
IMVT,Healthcare,Biotechnology
LPG,Energy,Oil & Gas Midstream
NE,Energy,Oil & Gas Drilling
ATEX,Communication Services,Telecom Services
GFS,Technology,Semiconductors
KALV,Healthcare,Biotechnology
NXT,Technology,Solar
CYRX,Industrials,Integrated Freight & Logistics
EWTX,Healthcare,Biotechnology
PDS,Energy,Oil & Gas Drilling
IMTX,Healthcare,Biotechnology
LFUS,Technology,Electronic Components
LION,その他,
AXSM,Healthcare,Biotechnology
MIRM,Healthcare,Biotechnology
CGNX,Technology,Scientific & Technical Instruments
ASRT,Healthcare,Drug Manufacturers - Specialty & Generic
BWLP,Energy,Oil & Gas Midstream
KGS,Energy,Oil & Gas Equipment & Services
WCC,Industrials,Industrial Distribution
CCO,Communication Services,Advertising Agencies
JAZZ,Healthcare,Biotechnology
DIOD,Technology,Semiconductors
SDRL,Energy,Oil & Gas Drilling
LINC,Consumer Defensive,Education & Training Services
KVHI,Communication Services,Telecom Services
AAPU,その他,
GNRC,Industrials,Specialty Industrial Machinery
CERS,Healthcare,Medical Devices
KEYS,Technology,Scientific & Technical Instruments
SHLS,Technology,Solar
QCML,その他,
CTOS,Industrials,Rental & Leasing Services
HAL,Energy,Oil & Gas Equipment & Services
NAT,Energy,Oil & Gas Midstream
INVX,Energy,Oil & Gas Equipment & Services
DCO,Industrials,Aerospace & Defense
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic
VUZI,Technology,Consumer Electronics
FRO,Energy,Oil & Gas Midstream
BB,Technology,Software - Infrastructure
COCO,Consumer Defensive,Beverages - Non-Alcoholic
ECPG,Financial Services,Credit Services
FSTR,Industrials,Railroads
QCLN,その他,
CABA,Healthcare,Biotechnology
MAMA,Consumer Defensive,Packaged Foods
BWMX,Consumer Cyclical,Specialty Retail
TAN,その他,
CNXT,その他,
ROG,Technology,Electronic Components
ATNI,Communication Services,Telecom Services
CEVA,Technology,Semiconductors
APGE,Healthcare,Biotechnology
CPSH,Technology,Electronic Components
BWA,Consumer Cyclical,Auto Parts
ERX,その他,
GRC,Industrials,Specialty Industrial Machinery
TRMD,Energy,Oil & Gas Midstream
AOSL,Technology,Semiconductors
NAMS,Healthcare,Biotechnology
RELL,Technology,Electronic Components
ADTN,Technology,Communication Equipment
AVNS,Healthcare,Medical Devices
KURA,Healthcare,Biotechnology
TS,Energy,Oil & Gas Equipment & Services
SPIR,Industrials,Specialty Business Services
VLO,Energy,Oil & Gas Refining & Marketing
MRVI,Healthcare,Biotechnology
KNSA,Healthcare,Drug Manufacturers - Specialty & Generic
SNX,Technology,Electronics & Computer Distribution
SNEX,Financial Services,Capital Markets
VSTS,Industrials,Rental & Leasing Services
DDD,Technology,Computer Hardware
NHC,Healthcare,Medical Care Facilities
ELMD,Healthcare,Medical Devices
DDOG,Technology,Software - Application
AKAM,Technology,Software - Infrastructure
FATE,Healthcare,Biotechnology
CGEN,Healthcare,Biotechnology
DHX,Technology,Software - Application
EGY,Energy,Oil & Gas E&P
SEB,Industrials,Conglomerates
KW,Real Estate,Real Estate Services
EWT,その他,
ECVT,Basic Materials,Specialty Chemicals
HAFN,Industrials,Marine Shipping
IX,Financial Services,Financial Conglomerates
FLXS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ORA,Utilities,Utilities - Renewable
PII,Consumer Cyclical,Recreational Vehicles
MGA,Consumer Cyclical,Auto Parts
SKM,Communication Services,Telecom Services
DRIV,その他,
KOS,Energy,Oil & Gas E&P
CASY,Consumer Cyclical,Specialty Retail
GASS,Industrials,Marine Shipping
PACK,Consumer Cyclical,Packaging & Containers
PHVS,Healthcare,Biotechnology
ARW,Technology,Electronics & Computer Distribution
MSGS,Communication Services,Entertainment
CHRW,Industrials,Integrated Freight & Logistics
DSX,Industrials,Marine Shipping
UTHR,Healthcare,Drug Manufacturers - Specialty & Generic
TALK,Healthcare,Health Information Services
MDAI,Healthcare,Medical Devices
MPTI,Technology,Electronic Components
XENE,Healthcare,Biotechnology
ROKU,Communication Services,Entertainment
ESEA,Industrials,Marine Shipping
PANL,Industrials,Marine Shipping
GTE,Energy,Oil & Gas E&P
NTCT,Technology,Software - Infrastructure
SLAB,Technology,Semiconductors
GGB,Basic Materials,Steel
INFU,Healthcare,Medical Devices
DTCR,その他,
PBR,Energy,Oil & Gas Integrated
CXDO,Communication Services,Telecom Services
KMT,Industrials,Tools & Accessories
LIVN,Healthcare,Medical Devices
PKOH,Industrials,Specialty Industrial Machinery
APEI,Consumer Defensive,Education & Training Services
GRDN,Healthcare,Medical Care Facilities
QQQU,その他,
TX,Basic Materials,Steel
NATL,Technology,Software - Application
NN,Technology,Software - Infrastructure
ARKO,Consumer Cyclical,Specialty Retail
SLX,その他,
FROG,Technology,Software - Application
ATEN,Technology,Software - Infrastructure
CM,Financial Services,Banks - Diversified
OLPX,Consumer Cyclical,Specialty Retail
CARE,Financial Services,Banks - Regional
ATLO,Financial Services,Banks - Regional
EQNR,Energy,Oil & Gas Integrated
MCY,Financial Services,Insurance - Property & Casualty
CW,Industrials,Aerospace & Defense
CHRD,Energy,Oil & Gas E&P
HLIT,Technology,Communication Equipment
PLOW,Consumer Cyclical,Auto Parts
MITK,Technology,Software - Application
ANET,Technology,Computer Hardware
OPPJ,その他,
NVGS,Energy,Oil & Gas Midstream
RNG,Technology,Software - Application
PKBK,Financial Services,Banks - Regional
MEC,Industrials,Metal Fabrication
LPL,Technology,Consumer Electronics
QCOM,Technology,Semiconductors
WWD,Industrials,Aerospace & Defense
SBLK,Industrials,Marine Shipping
XOMA,Healthcare,Biotechnology
WDS,Energy,Oil & Gas E&P
EXTR,Technology,Communication Equipment
ESOA,Industrials,Engineering & Construction
IXN,その他,
RRBI,Financial Services,Banks - Regional
ETON,Healthcare,Drug Manufacturers - Specialty & Generic
CRGY,Energy,Oil & Gas E&P
HSBC,Financial Services,Banks - Diversified
VVX,Industrials,Aerospace & Defense
FSLR,Technology,Solar
SHG,Financial Services,Banks - Regional
SGHC,Consumer Cyclical,Gambling
RXO,Industrials,Trucking
FLNG,Energy,Oil & Gas Midstream
ERIC,Technology,Communication Equipment
CVEO,Consumer Cyclical,Lodging
DAL,Industrials,Airlines
BP,Energy,Oil & Gas Integrated
AGIX,その他,
OPLN,Consumer Cyclical,Auto & Truck Dealerships
DHT,Energy,Oil & Gas Midstream
FRST,Financial Services,Banks - Regional
CMP,Basic Materials,Other Industrial Metals & Mining
REPX,Energy,Oil & Gas E&P
SFST,Financial Services,Banks - Regional
WS,Basic Materials,Steel
PBI,Industrials,Integrated Freight & Logistics
FAN,その他,
DTIL,Healthcare,Biotechnology
GBTG,Consumer Cyclical,Travel Services
AIQ,その他,
OMCL,Healthcare,Health Information Services
AESI,Energy,Oil & Gas Equipment & Services
DBD,Technology,Software - Application
FXN,その他,
IHS,Real Estate,Real Estate Services
OGN,Healthcare,Drug Manufacturers - General
DVN,Energy,Oil & Gas E&P
ISTR,Financial Services,Banks - Regional
MTUS,Basic Materials,Steel
TDC,Technology,Software - Infrastructure
BNS,Financial Services,Banks - Diversified
OCS,Healthcare,Biotechnology
COKE,Consumer Defensive,Beverages - Non-Alcoholic
AES,Utilities,Utilities - Diversified
LOCO,Consumer Cyclical,Restaurants
PLSE,Healthcare,Medical Instruments & Supplies
IXC,その他,
HEWJ,その他,
RBB,Financial Services,Banks - Regional
SENEA,Consumer Defensive,Packaged Foods
LAUR,Consumer Defensive,Education & Training Services
FANG,Energy,Oil & Gas E&P
VIST,Energy,Oil & Gas E&P
FLOC,Energy,Oil & Gas Equipment & Services
F,Consumer Cyclical,Auto Manufacturers
PEBK,Financial Services,Banks - Regional
RJET,Industrials,Airlines
SM,Energy,Oil & Gas E&P
CLDX,Healthcare,Biotechnology
FXZ,その他,
SNDA,Healthcare,Medical Care Facilities
VDE,その他,
WSBF,Financial Services,Banks - Regional
ZIM,Industrials,Marine Shipping
LXFR,Industrials,Specialty Industrial Machinery
GRID,その他,
LYTS,Technology,Electronic Components
SUPN,Healthcare,Drug Manufacturers - Specialty & Generic
MX,Technology,Semiconductors
RNGR,Energy,Oil & Gas Equipment & Services
RY,Financial Services,Banks - Diversified
XLE,その他,
JOE,Real Estate,Real Estate - Diversified
AROW,Financial Services,Banks - Regional
AMCX,Communication Services,Entertainment
ING,Financial Services,Banks - Diversified
VPL,その他,
MBIN,Financial Services,Banks - Regional
AVEM,その他,
OOMA,Technology,Software - Application
TDVI,その他,
CADL,Healthcare,Biotechnology
KB,Financial Services,Banks - Regional
FLYW,Technology,Software - Infrastructure
EEM,その他,
UNF,Industrials,Specialty Business Services
CRWD,Technology,Software - Infrastructure
JHG,Financial Services,Asset Management
LSTR,Industrials,Integrated Freight & Logistics
OXY,Energy,Oil & Gas E&P
DUOT,Technology,Software - Application
IMAX,Communication Services,Entertainment
ESGE,その他,
VCTR,Financial Services,Asset Management
VTWV,その他,
MCB,Financial Services,Banks - Regional
MCRI,Consumer Cyclical,Resorts & Casinos
GMED,Healthcare,Medical Devices
WBS,Financial Services,Banks - Regional
CLBK,Financial Services,Banks - Regional
AD,Communication Services,Telecom Services
AFK,その他,
ACA,Industrials,Engineering & Construction
STEL,Financial Services,Banks - Regional
FTGC,その他,
IMXI,Technology,Software - Infrastructure
VTWO,その他,
VLN,Technology,Semiconductors
SHEN,Communication Services,Telecom Services
PXF,その他,
IMUX,Healthcare,Biotechnology
TBLA,Communication Services,Internet Content & Information
BVS,Healthcare,Medical Devices
GLNG,Energy,Oil & Gas Midstream
NKSH,Financial Services,Banks - Regional
ZD,Communication Services,Advertising Agencies
IFRX,Healthcare,Biotechnology
APLY,その他,
FXNC,Financial Services,Banks - Regional
FVCB,Financial Services,Banks - Regional
CF,Basic Materials,Agricultural Inputs
EWBC,Financial Services,Banks - Regional
VIOV,その他,
PANW,Technology,Software - Infrastructure
LECO,Industrials,Tools & Accessories
RL,Consumer Cyclical,Apparel Manufacturing
INGM,Technology,Information Technology Services
ETR,Utilities,Utilities - Regulated Electric
IFS,Financial Services,Banks - Regional
MISL,その他,
MCFT,Consumer Cyclical,Recreational Vehicles
RLGT,Industrials,Integrated Freight & Logistics
SIRI,Communication Services,Entertainment
HAS,Consumer Cyclical,Leisure
OBT,Financial Services,Banks - Regional
HAFC,Financial Services,Banks - Regional
CATY,Financial Services,Banks - Regional
PDEX,Healthcare,Medical Instruments & Supplies
TSBK,Financial Services,Banks - Regional
NET,Technology,Software - Infrastructure
EBMT,Financial Services,Banks - Regional
NVEC,Technology,Semiconductors
ZWS,Industrials,Pollution & Treatment Controls
ATOM,Technology,Semiconductor Equipment & Materials
AAON,Industrials,Building Products & Equipment
THD,その他,
AGRO,Consumer Defensive,Farm Products
CPA,Industrials,Airlines
LYB,Basic Materials,Specialty Chemicals
SPYG,その他,
FDD,その他,
HBCP,Financial Services,Banks - Regional
ABUS,Healthcare,Biotechnology
PNRG,Energy,Oil & Gas E&P
CWB,その他,
KOP,Basic Materials,Specialty Chemicals
ESML,その他,
LFST,Healthcare,Medical Care Facilities
NEE,Utilities,Utilities - Regulated Electric
PAVE,その他,
RTO,Industrials,Specialty Business Services
TECX,Healthcare,Biotechnology
CNOB,Financial Services,Banks - Regional
JBSS,Consumer Defensive,Packaged Foods
SHEL,Energy,Oil & Gas Integrated
ACNB,Financial Services,Banks - Regional
FBT,その他,
SMBC,Financial Services,Banks - Regional
CBAN,Financial Services,Banks - Regional
EFIV,その他,
ZM,Technology,Software - Application
EWW,その他,
OEF,その他,
RLY,その他,
ARMK,Industrials,Specialty Business Services
ITA,その他,
ATKR,Industrials,Electrical Equipment & Parts
IHG,Consumer Cyclical,Lodging
MGC,その他,
STRZ,Communication Services,Entertainment
AEP,Utilities,Utilities - Regulated Electric
AIZ,Financial Services,Insurance - Property & Casualty
GTLS,Industrials,Specialty Industrial Machinery
RYZ,Industrials,Metal Fabrication
YPF,Energy,Oil & Gas Integrated
MXI,その他,
ENB,Energy,Oil & Gas Midstream
EWJ,その他,
TEX,Industrials,Farm & Heavy Construction Machinery
UMBF,Financial Services,Banks - Regional
OSW,Consumer Cyclical,Leisure
AVBP,Healthcare,Biotechnology
SWX,Utilities,Utilities - Regulated Gas
FTQI,その他,
BKV,Energy,Oil & Gas E&P
DFJ,その他,
LYG,Financial Services,Banks - Regional
SPYM,その他,
SNDK,Technology,Computer Hardware
MUU,その他,
MULL,その他,
INTW,その他,
BE,Industrials,Electrical Equipment & Parts
LWLG,Basic Materials,Specialty Chemicals
SOXL,その他,
AMDL,その他,
AMUU,その他,
KOD,Healthcare,Biotechnology
AAOI,Technology,Communication Equipment
SLGL,Healthcare,Biotechnology
WDC,Technology,Computer Hardware
CLYM,Healthcare,Biotechnology
ERAS,Healthcare,Biotechnology
PRAX,Healthcare,Biotechnology
OVID,Healthcare,Biotechnology
DMRA,Healthcare,Biotechnology
VSAT,Technology,Communication Equipment
MU,Technology,Semiconductors
INBX,Healthcare,Biotechnology
STX,Technology,Computer Hardware
CIEN,Technology,Communication Equipment
URGN,Healthcare,Biotechnology
NKTR,Healthcare,Biotechnology
TTMI,Technology,Electronic Components
HUT,Financial Services,Capital Markets
CIFR,Technology,Information Technology Services
TROO,Financial Services,Credit Services
APLD,Technology,Information Technology Services
OPTX,Technology,Electronic Components
PUSA,Consumer Cyclical,Leisure
INTC,Technology,Semiconductors
AMPX,Industrials,Electrical Equipment & Parts
WULF,Financial Services,Capital Markets
STTK,Healthcare,Biotechnology
MOVE,Technology,Software - Infrastructure
ORKA,Healthcare,Biotechnology
EQ,Healthcare,Biotechnology
MRAM,Technology,Semiconductors
VIAV,Technology,Communication Equipment
ASYS,Technology,Semiconductor Equipment & Materials
RKLB,Industrials,Aerospace & Defense
EDSA,Healthcare,Biotechnology
TRT,Technology,Semiconductor Equipment & Materials
TLYS,Consumer Cyclical,Apparel Retail
ARWR,Healthcare,Biotechnology
PLUG,Industrials,Electrical Equipment & Parts
ALTO,Basic Materials,Specialty Chemicals
POWL,Industrials,Electrical Equipment & Parts
PVLA,Healthcare,Biotechnology
RLAY,Healthcare,Biotechnology
LIXT,Healthcare,Biotechnology
BKSY,Industrials,Specialty Business Services
IMMX,Healthcare,Biotechnology
FLNC,Utilities,Utilities - Renewable
ASTS,Technology,Communication Equipment
ANAB,Healthcare,Biotechnology
AVTX,Healthcare,Biotechnology
GGLL,その他,
ALXO,Healthcare,Biotechnology
FORM,Technology,Semiconductor Equipment & Materials
AMD,Technology,Semiconductors
CENX,Basic Materials,Aluminum
ANTX,Healthcare,Biotechnology
SKYT,Technology,Semiconductors
ARTV,Healthcare,Biotechnology
NBR,Energy,Oil & Gas Drilling
SPRO,Healthcare,Biotechnology
KORE,Communication Services,Telecom Services
FIX,Industrials,Engineering & Construction
MKSI,Technology,Scientific & Technical Instruments
PACS,Healthcare,Medical Care Facilities
KYTX,Healthcare,Biotechnology
KOPN,Technology,Electronic Components
TTI,Industrials,Conglomerates
LRCX,Technology,Semiconductor Equipment & Materials
ASX,Technology,Semiconductors
RXT,Technology,Software - Infrastructure
UUU,Industrials,Building Products & Equipment
SEDG,Technology,Solar
AXGN,Healthcare,Medical Devices
GPRE,Basic Materials,Chemicals
USD,その他,
VELO,Technology,Computer Hardware
RILY,Financial Services,Financial Conglomerates
WYY,Technology,Information Technology Services
NERV,Healthcare,Biotechnology
IHRT,Communication Services,Broadcasting
FEIM,Technology,Communication Equipment
CRDO,Technology,Semiconductors
LABU,その他,
TYRA,Healthcare,Biotechnology
RAPP,Healthcare,Biotechnology
WATT,Technology,Communication Equipment
SPHR,Communication Services,Entertainment
INTG,Consumer Cyclical,Lodging
ZNTL,Healthcare,Biotechnology
LUNR,Industrials,Aerospace & Defense
KLIC,Technology,Semiconductor Equipment & Materials
UMAC,Technology,Computer Hardware
CYPH,Financial Services,Asset Management
SIDU,Industrials,Aerospace & Defense
ACMR,Technology,Semiconductor Equipment & Materials
LTRX,Technology,Communication Equipment
ALAB,Technology,Semiconductors
TECL,その他,
BTE,Energy,Oil & Gas E&P
MTSI,Technology,Semiconductors
SIFY,Communication Services,Telecom Services
GH,Healthcare,Diagnostics & Research
GTX,Consumer Cyclical,Auto Parts
PGEN,Healthcare,Biotechnology
SEPN,Healthcare,Biotechnology
CLS,Technology,Electronic Components
FN,Technology,Electronic Components
BBGI,Communication Services,Broadcasting
SNSE,Healthcare,Biotechnology
WBD,Communication Services,Entertainment
GSIT,Technology,Semiconductors
ENS,Industrials,Electrical Equipment & Parts
SND,Energy,Oil & Gas Equipment & Services
MOD,Consumer Cyclical,Auto Parts
TXG,Healthcare,Health Information Services
DSGN,Healthcare,Biotechnology
GILT,Technology,Communication Equipment
RIOT,Financial Services,Capital Markets
AEIS,Industrials,Electrical Equipment & Parts
LCUT,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
IBRX,Healthcare,Biotechnology
FIGS,Consumer Cyclical,Apparel Manufacturing
MYRG,Industrials,Engineering & Construction
CLNN,Consumer Defensive,Packaged Foods
GLSI,Healthcare,Biotechnology
MTRN,Basic Materials,Other Industrial Metals & Mining
BWAY,Healthcare,Medical Devices
FOSL,Consumer Cyclical,Footwear & Accessories
SEI,Energy,Oil & Gas Equipment & Services
STRO,Healthcare,Biotechnology
AMAT,Technology,Semiconductor Equipment & Materials
HBM,Basic Materials,Copper
ROIV,Healthcare,Biotechnology
NVMI,Technology,Semiconductor Equipment & Materials
EDRY,Industrials,Marine Shipping
IESC,Industrials,Engineering & Construction
HLIO,Industrials,Specialty Industrial Machinery
PARR,Energy,Oil & Gas Refining & Marketing
APYX,Healthcare,Medical Devices
ATRO,Industrials,Aerospace & Defense
HP,Energy,Oil & Gas Drilling
DELL,Technology,Computer Hardware
PLAB,Technology,Semiconductor Equipment & Materials
ABCL,Healthcare,Biotechnology
REMX,その他,
NVRI,Industrials,Waste Management
PLPC,Industrials,Electrical Equipment & Parts
RCUS,Healthcare,Biotechnology
PKE,Industrials,Aerospace & Defense
CAT,Industrials,Farm & Heavy Construction Machinery
GHM,Industrials,Specialty Industrial Machinery
SSRM,Basic Materials,Gold
AA,Basic Materials,Aluminum
TIGO,Communication Services,Telecom Services
WHWK,Healthcare,Biotechnology
NVT,Industrials,Electrical Equipment & Parts
FBRX,Healthcare,Biotechnology
AVL,その他,
EZPW,Financial Services,Credit Services
KLAC,Technology,Semiconductor Equipment & Materials
MTZ,Industrials,Engineering & Construction
UMC,Technology,Semiconductors
ABOS,Healthcare,Biotechnology
CALY,Consumer Cyclical,Leisure
SQM,Basic Materials,Specialty Chemicals
AAMI,Financial Services,Asset Management
SYNA,Technology,Semiconductors
SMH,その他,
INSW,Energy,Oil & Gas Midstream
WFRD,Energy,Oil & Gas Equipment & Services
MPWR,Technology,Semiconductors
CLMT,Basic Materials,Specialty Chemicals
FTI,Energy,Oil & Gas Equipment & Services
CGAU,Basic Materials,Gold
ENTA,Healthcare,Biotechnology
APA,Energy,Oil & Gas E&P
PPIH,Industrials,Building Products & Equipment
DBI,Consumer Cyclical,Footwear & Accessories
KRYS,Healthcare,Biotechnology
BRUN,Technology,Software - Infrastructure
TQQQ,その他,
SLDB,Healthcare,Biotechnology
VSCO,Consumer Cyclical,Apparel Retail
REX,Basic Materials,Chemicals
TWIN,Industrials,Specialty Industrial Machinery
BCAX,Healthcare,Biotechnology
MG,Industrials,Security & Protection Services
TNA,その他,
DK,Energy,Oil & Gas Refining & Marketing
IOVA,Healthcare,Biotechnology
IONS,Healthcare,Biotechnology
LIT,その他,
RSI,Consumer Cyclical,Gambling
GOOGL,Communication Services,Internet Content & Information
PTEN,Energy,Oil & Gas Drilling
FSLY,Technology,Software - Application
BWEN,Industrials,Specialty Industrial Machinery
KN,Technology,Electronic Components
CTEC,その他,
LGND,Healthcare,Biotechnology
ASML,Technology,Semiconductor Equipment & Materials
TRVI,Healthcare,Biotechnology
GOOG,Communication Services,Internet Content & Information
RYAM,Basic Materials,Chemicals
GEV,Industrials,Specialty Industrial Machinery
CVE,Energy,Oil & Gas Integrated
AAPB,その他,
ZYME,Healthcare,Biotechnology
FTAI,Industrials,Aerospace & Defense
HPE,Technology,Communication Equipment
TDAY,Communication Services,Publishing
GOLD,Financial Services,Capital Markets
JBL,Technology,Electronic Components
MT,Basic Materials,Steel
PODC,Communication Services,Internet Content & Information
AMPG,Technology,Communication Equipment
PBYI,Healthcare,Biotechnology
SVCO,Technology,Software - Application
PTGX,Healthcare,Biotechnology
NUE,Basic Materials,Steel
PWR,Industrials,Engineering & Construction
SABS,Healthcare,Biotechnology
NVDU,その他,
ADEA,Technology,Software - Application
NVDL,その他,
ATI,Industrials,Metal Fabrication
TWST,Healthcare,Diagnostics & Research
GCT,Technology,Software - Infrastructure
TSM,Technology,Semiconductors
NVDG,その他,
ROLR,Consumer Cyclical,Gambling
ANDE,Consumer Defensive,Food Distribution
DAN,Consumer Cyclical,Auto Parts
CNRG,その他,
ATAI,Healthcare,Biotechnology
OIH,その他,
MRCY,Industrials,Aerospace & Defense
USEA,Industrials,Marine Shipping
BBIO,Healthcare,Biotechnology
VATE,Industrials,Engineering & Construction
COPX,その他,
SCCO,Basic Materials,Copper
ARCB,Industrials,Trucking
BFLY,Healthcare,Medical Devices
CMI,Industrials,Specialty Industrial Machinery
DGII,Technology,Communication Equipment
SGMT,Healthcare,Biotechnology
STNG,Energy,Oil & Gas Midstream
WT,Financial Services,Asset Management
PLXS,Technology,Electronic Components
FIVE,Consumer Cyclical,Specialty Retail
XOMX,その他,
OII,Energy,Oil & Gas Equipment & Services
VIR,Healthcare,Biotechnology
DINO,Energy,Oil & Gas Refining & Marketing
ESLT,Industrials,Aerospace & Defense
NVDX,その他,
TPC,Industrials,Engineering & Construction
OIS,Energy,Oil & Gas Equipment & Services
XPRO,Energy,Oil & Gas Equipment & Services
TALO,Energy,Oil & Gas E&P
LIND,Consumer Cyclical,Travel Services
CMRE,Industrials,Marine Shipping
TDW,Energy,Oil & Gas Equipment & Services
TEVA,Healthcare,Drug Manufacturers - Specialty & Generic
TENX,Healthcare,Biotechnology
IRDM,Communication Services,Telecom Services
PAYS,Technology,Software - Infrastructure
GHRS,Healthcare,Biotechnology
GOOY,その他,
BKCH,その他,
ESTA,Healthcare,Medical Devices
ASC,Industrials,Marine Shipping
ST,Technology,Scientific & Technical Instruments
CSCO,Technology,Communication Equipment
IVZ,Financial Services,Asset Management
STLD,Basic Materials,Steel
PRLB,Industrials,Metal Fabrication
PPSI,Industrials,Electrical Equipment & Parts
VTVT,Healthcare,Biotechnology
MDGL,Healthcare,Biotechnology
CMBT,Energy,Oil & Gas Midstream
ESI,Basic Materials,Specialty Chemicals
VIK,Consumer Cyclical,Travel Services
SU,Energy,Oil & Gas Integrated
ADI,Technology,Semiconductors
SPXL,その他,
PBD,その他,
NPKI,Energy,Oil & Gas Equipment & Services
